song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Burning Down The House,"Tom Jones, The Cardigans",0.796,0.819,11,-5.806,1,0.043,0.0131,0.00138,0.0446,0.823,109.942,audio_features,3v3EGRQ6bywgEaeBRYhpcN,spotify:track:3v3EGRQ6bywgEaeBRYhpcN,https://api.spotify.com/v1/tracks/3v3EGRQ6bywgEaeBRYhpcN,https://api.spotify.com/v1/audio-analysis/3v3EGRQ6bywgEaeBRYhpcN,219467,4
Every Rose Has Its Thorn - 2003 Remaster,Poison,0.533,0.637,6,-5.571,1,0.0323,0.16,1.12e-05,0.369,0.292,140.167,audio_features,43GS3mtezoIFiuIZCLLiDY,spotify:track:43GS3mtezoIFiuIZCLLiDY,https://api.spotify.com/v1/tracks/43GS3mtezoIFiuIZCLLiDY,https://api.spotify.com/v1/audio-analysis/43GS3mtezoIFiuIZCLLiDY,260173,4
Things That Make You Go Hmmmm.... (feat. Freedom Williams),"C & C Music Factory, Freedom Williams",0.807,0.935,8,-5.931,0,0.0498,0.0534,0.00083,0.343,0.97,113.328,audio_features,4QWU4b9viti7aUefIHrccZ,spotify:track:4QWU4b9viti7aUefIHrccZ,https://api.spotify.com/v1/tracks/4QWU4b9viti7aUefIHrccZ,https://api.spotify.com/v1/audio-analysis/4QWU4b9viti7aUefIHrccZ,322333,4
Black Velvet,Alannah Myles,0.754,0.366,8,-10.07,1,0.0312,0.273,9.04e-05,0.106,0.469,91.147,audio_features,1KU5EHSz04JhGg3rReGJ0N,spotify:track:1KU5EHSz04JhGg3rReGJ0N,https://api.spotify.com/v1/tracks/1KU5EHSz04JhGg3rReGJ0N,https://api.spotify.com/v1/audio-analysis/1KU5EHSz04JhGg3rReGJ0N,287440,4
Devil Inside,INXS,0.588,0.584,0,-7.526,1,0.037,0.000818,0.458,0.104,0.537,150.795,audio_features,0sTnQus7pGewDC0UHSyRDS,spotify:track:0sTnQus7pGewDC0UHSyRDS,https://api.spotify.com/v1/tracks/0sTnQus7pGewDC0UHSyRDS,https://api.spotify.com/v1/audio-analysis/0sTnQus7pGewDC0UHSyRDS,313707,4
Mandy,Barry Manilow,0.308,0.464,10,-9.032,1,0.0279,0.418,2.49e-06,0.143,0.318,103.734,audio_features,6iXQrhhgBisdfvS34EMTZ3,spotify:track:6iXQrhhgBisdfvS34EMTZ3,https://api.spotify.com/v1/tracks/6iXQrhhgBisdfvS34EMTZ3,https://api.spotify.com/v1/audio-analysis/6iXQrhhgBisdfvS34EMTZ3,213333,4
Friday I'm In Love,The Cure,0.526,0.763,0,-12.663,0,0.0341,0.00126,6.75e-05,0.359,0.514,136.205,audio_features,4QlzkaRHtU8gAdwqjWmO8n,spotify:track:4QlzkaRHtU8gAdwqjWmO8n,https://api.spotify.com/v1/tracks/4QlzkaRHtU8gAdwqjWmO8n,https://api.spotify.com/v1/audio-analysis/4QlzkaRHtU8gAdwqjWmO8n,215160,4
Bad Medicine,Bon Jovi,0.555,0.973,9,-3.804,1,0.035,0.048,0.0,0.0853,0.805,118.642,audio_features,72hcFp4tYkd3dbNA9dZ3Pv,spotify:track:72hcFp4tYkd3dbNA9dZ3Pv,https://api.spotify.com/v1/tracks/72hcFp4tYkd3dbNA9dZ3Pv,https://api.spotify.com/v1/audio-analysis/72hcFp4tYkd3dbNA9dZ3Pv,316707,4
Hand in My Pocket,Alanis Morissette,0.642,0.769,0,-4.501,1,0.0269,0.0522,0.00032,0.0772,0.621,92.292,audio_features,78kkknD87Eor8RDGY9Gyuv,spotify:track:78kkknD87Eor8RDGY9Gyuv,https://api.spotify.com/v1/tracks/78kkknD87Eor8RDGY9Gyuv,https://api.spotify.com/v1/audio-analysis/78kkknD87Eor8RDGY9Gyuv,219627,4
I Want Your Love,Transvision Vamp,0.465,0.821,4,-11.115,1,0.0487,0.0133,0.00855,0.447,0.697,149.824,audio_features,55NBt1WuvShjsGE1grbi2v,spotify:track:55NBt1WuvShjsGE1grbi2v,https://api.spotify.com/v1/tracks/55NBt1WuvShjsGE1grbi2v,https://api.spotify.com/v1/audio-analysis/55NBt1WuvShjsGE1grbi2v,209907,4
Kryptonite,3 Doors Down,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,audio_features,6ZOBP3NvffbU4SZcrnt1k6,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/tracks/6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/audio-analysis/6ZOBP3NvffbU4SZcrnt1k6,233933,4
Raise Your Glass,P!nk,0.7,0.709,7,-5.006,1,0.0838,0.0048,0.0,0.029,0.624,122.019,audio_features,1gv4xPanImH17bKZ9rOveR,spotify:track:1gv4xPanImH17bKZ9rOveR,https://api.spotify.com/v1/tracks/1gv4xPanImH17bKZ9rOveR,https://api.spotify.com/v1/audio-analysis/1gv4xPanImH17bKZ9rOveR,202960,4
Little Lion Man,Mumford & Sons,0.519,0.494,5,-8.03,1,0.0275,0.0287,3.34e-05,0.0892,0.482,138.524,audio_features,37jCwWbb32w46aS5pKZZbe,spotify:track:37jCwWbb32w46aS5pKZZbe,https://api.spotify.com/v1/tracks/37jCwWbb32w46aS5pKZZbe,https://api.spotify.com/v1/audio-analysis/37jCwWbb32w46aS5pKZZbe,247000,4
Right On Track,Breakfast Club,0.763,0.824,1,-10.054,0,0.033,0.0613,4.45e-05,0.0226,0.947,116.975,audio_features,3UiuKZWtgXjeAfnfGqIeu0,spotify:track:3UiuKZWtgXjeAfnfGqIeu0,https://api.spotify.com/v1/tracks/3UiuKZWtgXjeAfnfGqIeu0,https://api.spotify.com/v1/audio-analysis/3UiuKZWtgXjeAfnfGqIeu0,256947,4
If You Could Only See,Tonic,0.433,0.946,10,-5.138,0,0.0398,0.00264,0.0,0.198,0.578,95.169,audio_features,4KoNBTm9a55KgLMtEaf3n6,spotify:track:4KoNBTm9a55KgLMtEaf3n6,https://api.spotify.com/v1/tracks/4KoNBTm9a55KgLMtEaf3n6,https://api.spotify.com/v1/audio-analysis/4KoNBTm9a55KgLMtEaf3n6,261520,4
I've Never Been To Me,Charlene,0.473,0.332,10,-12.51,1,0.0426,0.843,0.0,0.0853,0.435,121.326,audio_features,6DMOzL2zPZBAW0LDYCYLWm,spotify:track:6DMOzL2zPZBAW0LDYCYLWm,https://api.spotify.com/v1/tracks/6DMOzL2zPZBAW0LDYCYLWm,https://api.spotify.com/v1/audio-analysis/6DMOzL2zPZBAW0LDYCYLWm,234773,4
Pour Some Sugar On Me,Def Leppard,0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989,audio_features,1aZLIbKEdsyqxyD6iNcrbA,spotify:track:1aZLIbKEdsyqxyD6iNcrbA,https://api.spotify.com/v1/tracks/1aZLIbKEdsyqxyD6iNcrbA,https://api.spotify.com/v1/audio-analysis/1aZLIbKEdsyqxyD6iNcrbA,267307,4
Invisible Touch - Remastered 2007,Genesis,0.623,0.94,0,-5.731,1,0.0365,0.202,0.00184,0.0472,0.837,131.037,audio_features,480dDrqG7LO6qDaphHeXlM,spotify:track:480dDrqG7LO6qDaphHeXlM,https://api.spotify.com/v1/tracks/480dDrqG7LO6qDaphHeXlM,https://api.spotify.com/v1/audio-analysis/480dDrqG7LO6qDaphHeXlM,210133,4
How to Save a Life,The Fray,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,audio_features,5fVZC9GiM4e8vu99W0Xf6J,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/tracks/5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/audio-analysis/5fVZC9GiM4e8vu99W0Xf6J,262533,4
History Repeating,Propellerheads Feat. Miss Shirley Bassey,0.706,0.681,11,-10.873,1,0.0414,0.00247,0.0121,0.11,0.78,144.057,audio_features,05mdiAnALU200LER7TId7R,spotify:track:05mdiAnALU200LER7TId7R,https://api.spotify.com/v1/tracks/05mdiAnALU200LER7TId7R,https://api.spotify.com/v1/audio-analysis/05mdiAnALU200LER7TId7R,244000,4
I Guess That's Why They Call It The Blues,Elton John,0.673,0.663,0,-7.29,1,0.0269,0.217,0.017,0.177,0.671,120.634,audio_features,23l1kVpqMVREiwU1YAlcr4,spotify:track:23l1kVpqMVREiwU1YAlcr4,https://api.spotify.com/v1/tracks/23l1kVpqMVREiwU1YAlcr4,https://api.spotify.com/v1/audio-analysis/23l1kVpqMVREiwU1YAlcr4,285333,3
Wish You Well,Bernard Fanning,0.73,0.717,2,-3.983,1,0.0873,0.177,3.85e-06,0.0628,0.703,122.713,audio_features,48xq0DnfAKtsFjK1L7GZx9,spotify:track:48xq0DnfAKtsFjK1L7GZx9,https://api.spotify.com/v1/tracks/48xq0DnfAKtsFjK1L7GZx9,https://api.spotify.com/v1/audio-analysis/48xq0DnfAKtsFjK1L7GZx9,151133,4
R.O.C.K. In The U.S.A. (A Salute To 60's Rock),John Mellencamp,0.432,0.958,9,-4.009,1,0.0819,0.00943,2.79e-06,0.227,0.874,164.018,audio_features,0lqfBvf1Gqmmt3l5Qeirlm,spotify:track:0lqfBvf1Gqmmt3l5Qeirlm,https://api.spotify.com/v1/tracks/0lqfBvf1Gqmmt3l5Qeirlm,https://api.spotify.com/v1/audio-analysis/0lqfBvf1Gqmmt3l5Qeirlm,174360,4
Hold On,Wilson Phillips,0.679,0.657,5,-9.897,1,0.0255,0.4,0.0,0.0497,0.546,97.8,audio_features,4VZDv8sASBS8UruUBGTFdk,spotify:track:4VZDv8sASBS8UruUBGTFdk,https://api.spotify.com/v1/tracks/4VZDv8sASBS8UruUBGTFdk,https://api.spotify.com/v1/audio-analysis/4VZDv8sASBS8UruUBGTFdk,266867,4
Oh Yeah - Remastered 2005,Yello,0.748,0.907,6,-7.844,1,0.0611,0.0038,0.812,0.041,0.769,132.61,audio_features,1iOHLlEsMbgJfYBFWy4TjG,spotify:track:1iOHLlEsMbgJfYBFWy4TjG,https://api.spotify.com/v1/tracks/1iOHLlEsMbgJfYBFWy4TjG,https://api.spotify.com/v1/audio-analysis/1iOHLlEsMbgJfYBFWy4TjG,185043,4
Long Day,Matchbox Twenty,0.458,0.822,8,-6.613,0,0.0431,0.00279,0.0,0.15,0.6,104.103,audio_features,4r7im8h2DTRPvl25YfNyIT,spotify:track:4r7im8h2DTRPvl25YfNyIT,https://api.spotify.com/v1/tracks/4r7im8h2DTRPvl25YfNyIT,https://api.spotify.com/v1/audio-analysis/4r7im8h2DTRPvl25YfNyIT,225667,4
Even When I'm Sleeping,Leonardo's Bride,0.653,0.345,5,-7.137,1,0.0246,0.533,0.0,0.0881,0.416,80.037,audio_features,5VPy7NeI6uCRCcZp3VIqsJ,spotify:track:5VPy7NeI6uCRCcZp3VIqsJ,https://api.spotify.com/v1/tracks/5VPy7NeI6uCRCcZp3VIqsJ,https://api.spotify.com/v1/audio-analysis/5VPy7NeI6uCRCcZp3VIqsJ,234667,4
Orange Crush - Remastered 2013,R.E.M.,0.568,0.701,9,-10.453,1,0.04,0.000613,0.00258,0.17,0.638,120.678,audio_features,7sNhXWrg9eW3qRqeuePaIC,spotify:track:7sNhXWrg9eW3qRqeuePaIC,https://api.spotify.com/v1/tracks/7sNhXWrg9eW3qRqeuePaIC,https://api.spotify.com/v1/audio-analysis/7sNhXWrg9eW3qRqeuePaIC,231640,4
Xanadu,Olivia Newton-John,0.635,0.584,6,-9.112,1,0.0296,0.118,0.0,0.29,0.711,127.626,audio_features,0cXFXgFns7sIMmTpqyGRmD,spotify:track:0cXFXgFns7sIMmTpqyGRmD,https://api.spotify.com/v1/tracks/0cXFXgFns7sIMmTpqyGRmD,https://api.spotify.com/v1/audio-analysis/0cXFXgFns7sIMmTpqyGRmD,208240,4
Something So Strong,Crowded House,0.573,0.886,7,-5.206,1,0.0459,0.0914,4.41e-05,0.0718,0.682,119.827,audio_features,4ml6eCtBlmYVfpfXJsUFD2,spotify:track:4ml6eCtBlmYVfpfXJsUFD2,https://api.spotify.com/v1/tracks/4ml6eCtBlmYVfpfXJsUFD2,https://api.spotify.com/v1/audio-analysis/4ml6eCtBlmYVfpfXJsUFD2,173964,4
Bad To The Bone,George Thorogood & The Destroyers,0.459,0.727,0,-11.777,1,0.0303,0.00614,0.0652,0.384,0.955,149.231,audio_features,6s0NHplywwr1IjnQpUpWJk,spotify:track:6s0NHplywwr1IjnQpUpWJk,https://api.spotify.com/v1/tracks/6s0NHplywwr1IjnQpUpWJk,https://api.spotify.com/v1/audio-analysis/6s0NHplywwr1IjnQpUpWJk,292173,1
Call on Me - Radio Mix,Eric Prydz,0.597,0.837,10,-6.518,1,0.375,0.00427,0.00115,0.839,0.447,126.342,audio_features,1xNcBAoUw8Hz6LqK2jt4Ff,spotify:track:1xNcBAoUw8Hz6LqK2jt4Ff,https://api.spotify.com/v1/tracks/1xNcBAoUw8Hz6LqK2jt4Ff,https://api.spotify.com/v1/audio-analysis/1xNcBAoUw8Hz6LqK2jt4Ff,171360,4
Young Years,Dragon,0.522,0.721,7,-11.835,1,0.0297,0.00233,0.00146,0.0999,0.516,140.066,audio_features,5YwcNVpjiqGqC2Ma9330j0,spotify:track:5YwcNVpjiqGqC2Ma9330j0,https://api.spotify.com/v1/tracks/5YwcNVpjiqGqC2Ma9330j0,https://api.spotify.com/v1/audio-analysis/5YwcNVpjiqGqC2Ma9330j0,238600,4
The Only Way Is Up,Yazz,0.634,0.893,11,-7.432,1,0.0403,0.0619,0.00142,0.161,0.667,124.621,audio_features,5nlwajOutaUfiSayarrZTy,spotify:track:5nlwajOutaUfiSayarrZTy,https://api.spotify.com/v1/tracks/5nlwajOutaUfiSayarrZTy,https://api.spotify.com/v1/audio-analysis/5nlwajOutaUfiSayarrZTy,268373,4
With Arms Wide Open,Creed,0.415,0.533,0,-8.445,1,0.0308,0.0037,0.000732,0.176,0.126,138.929,audio_features,2dl3ggnDYIs9vlLLFm68xc,spotify:track:2dl3ggnDYIs9vlLLFm68xc,https://api.spotify.com/v1/tracks/2dl3ggnDYIs9vlLLFm68xc,https://api.spotify.com/v1/audio-analysis/2dl3ggnDYIs9vlLLFm68xc,278440,4
Walk Of Life,Dire Straits,0.462,0.918,4,-8.507,1,0.0959,0.405,0.00033,0.126,0.802,172.427,audio_features,3Ud6fFep5ZlXzRWw6Sm8no,spotify:track:3Ud6fFep5ZlXzRWw6Sm8no,https://api.spotify.com/v1/tracks/3Ud6fFep5ZlXzRWw6Sm8no,https://api.spotify.com/v1/audio-analysis/3Ud6fFep5ZlXzRWw6Sm8no,249960,4
YMCA - Original Version 1978,Village People,0.723,0.969,6,-4.516,1,0.142,0.0643,0.0,0.115,0.728,126.653,audio_features,54OR1VDpfkBuOY5zZjhZAY,spotify:track:54OR1VDpfkBuOY5zZjhZAY,https://api.spotify.com/v1/tracks/54OR1VDpfkBuOY5zZjhZAY,https://api.spotify.com/v1/audio-analysis/54OR1VDpfkBuOY5zZjhZAY,286800,4
